t,z_s
7.031250000000000000e-02,3.585258525774887624e-03
7.128906250000000000e-02,3.664718604433183161e-03
7.226562500000000000e-02,3.742791999119943116e-03
7.324218750000000000e-02,3.819369766820394051e-03
7.421875000000000000e-02,3.894344268045257535e-03
7.519531250000000000e-02,3.967609286231118214e-03
7.617187500000000000e-02,4.039060144618658761e-03
7.714843750000000000e-02,4.108593820612490947e-03
7.812500000000000000e-02,4.176109057619860170e-03
7.910156250000000000e-02,4.241506474359437069e-03
8.007812500000000000e-02,4.304688671625768112e-03
8.105468750000000000e-02,4.365560336489727675e-03
8.203125000000000000e-02,4.424028343910509434e-03
8.300781250000000000e-02,4.480001855730342437e-03
8.398437500000000000e-02,4.533392417019188082e-03
8.496093750000000000e-02,4.584114049733201308e-03
8.593750000000000000e-02,4.632083343647661056e-03
8.691406250000000000e-02,4.677219544522469470e-03
8.789062500000000000e-02,4.719444639456081558e-03
8.886718750000000000e-02,4.758683439381924604e-03
8.984375000000000000e-02,4.794863658659936391e-03
9.082031250000000000e-02,4.827915991714813032e-03
9.179687500000000000e-02,4.857774186671865065e-03
9.277343750000000000e-02,4.884375115941047389e-03
9.375000000000000000e-02,4.907658843699727776e-03
9.472656250000000000e-02,4.927568690225058758e-03
9.570312500000000000e-02,4.944051293027437038e-03
9.667968750000000000e-02,4.957056664737414901e-03
9.765625000000000000e-02,4.966538247699593851e-03
9.863281250000000000e-02,4.972452965228434107e-03
9.960937500000000000e-02,4.974761269482546808e-03
1.005859375000000000e-01,4.973427185915907552e-03
1.015625000000000000e-01,4.968418354266478619e-03
1.025390625000000000e-01,4.959706066044980606e-03
1.035156250000000000e-01,4.947265298488973291e-03
1.044921875000000000e-01,4.931074744949988549e-03
1.054687500000000000e-01,4.911116841684177309e-03
1.064453125000000000e-01,4.887377791019798315e-03
1.074218750000000000e-01,4.859847580877841959e-03
1.083984375000000000e-01,4.828520000625179803e-03
1.093750000000000000e-01,4.793392653242797147e-03
1.103515625000000000e-01,4.754466963794939417e-03
1.113281250000000000e-01,4.711748184188338170e-03
1.123046875000000000e-01,4.665245394214083408e-03
1.132812500000000000e-01,4.614971498868171429e-03
1.142578125000000000e-01,4.560943221950245971e-03
1.152343750000000000e-01,4.503181095943607423e-03
1.162109375000000000e-01,4.441709448183113300e-03
1.171875000000000000e-01,4.376556383321183151e-03
1.181640625000000000e-01,4.307753762105730189e-03
1.191406250000000000e-01,4.235337176487431916e-03
1.201171875000000000e-01,4.159345921077355936e-03
1.210937500000000000e-01,4.079822960979565330e-03
1.220703125000000000e-01,3.996814896026888546e-03
1.230468750000000000e-01,3.910371921451613955e-03
1.240234375000000000e-01,3.820547785026403350e-03
1.250000000000000000e-01,3.727399740714214087e-03
1.259765625000000000e-01,3.630988498869500754e-03
1.269531250000000000e-01,3.531378173036392887e-03
1.279296875000000000e-01,3.428636223392925349e-03
1.289062500000000000e-01,3.322833396893743428e-03
1.298828125000000000e-01,3.214043664166979421e-03
1.308593750000000000e-01,3.102344153224229680e-03
1.318359375000000000e-01,2.987815080045723090e-03
1.328125000000000000e-01,2.870539676105877524e-03
1.337890625000000000e-01,2.750604112907474412e-03
1.347656250000000000e-01,2.628097423595641448e-03
1.357421875000000000e-01,2.503111421725734333e-03
1.367187500000000000e-01,2.375740617262015256e-03
1.376953125000000000e-01,2.246082129886759274e-03
1.386718750000000000e-01,2.114235599702086500e-03
1.396484375000000000e-01,1.980303095409371907e-03
1.406250000000000000e-01,1.844389020053580639e-03
1.416015625000000000e-01,1.706600014422263688e-03
1.425781250000000000e-01,1.567044858191257717e-03
1.435546875000000000e-01,1.425834368911342185e-03
1.445312500000000000e-01,1.283081298932221359e-03
1.455078125000000000e-01,1.138900230362223853e-03
1.464843750000000000e-01,9.934074681640285651e-04
1.474609375000000000e-01,8.467209314885534160e-04
1.484375000000000000e-01,6.989600433508593499e-04
1.494140625000000000e-01,5.502456187535432900e-04
1.503906250000000000e-01,4.006997513646081929e-04
1.513671875000000000e-01,2.504456988582046692e-04
1.523437500000000000e-01,9.960776702794491293e-05
1.533203125000000000e-01,-5.168880721631639689e-05
1.542968750000000000e-01,-2.033179738562516947e-04
1.552734375000000000e-01,-3.551529886644189593e-04
